label,current_code,gdate,hdate,notes
19-H3-C-R3-,NAAT,,,
20-H3-C-R3-,PLER,,,
21-H3-C-R3-,SACO,,,
22-H3-C-R3-,SIGA,,,
23-H3-C-R3-,URLI,,,
01-H4-C-R3-,ACAM,,,
02-H4-C-R3-,ACWR,,,
03-H4-C-R3-,AMME,,,
04-H4-C-R3-,ANAR,,,
05-H4-C-R3-,BRMA,,,
06-H4-C-R3-,CEME,,,
07-H4-C-R3-,CHGL,,,
08-H4-C-R3-,CHPA,,,
09-H4-C-R3-,CLBO,,,
10-H4-C-R3-,CLPU,,,
11-H4-C-R3-,ERCI,,,
12-H4-C-R3-,EUSP,,,
13-H4-C-R3-,FEMI,,,
14-H4-C-R3-,HECO,,,
15-H4-C-R3-,HOMU,,,
16-H4-C-R3-,LACA,,,
17-H4-C-R3-,MEPO,,,
18-H4-C-R3-,MICA,,,
19-H4-C-R3-,NAAT,,,
20-H4-C-R3-,PLER,,,
21-H4-C-R3-,SACO,,,
22-H4-C-R3-,SIGA,,,
23-H4-C-R3-,URLI,,,
01-H1-C-R4-,ACAM,,,
02-H1-C-R4-,ACWR,,,
03-H1-C-R4-,AMME,,,
04-H1-C-R4-,ANAR,,,
05-H1-C-R4-,BRMA,,,
06-H1-C-R4-,CEME,,,
07-H1-C-R4-,CHGL,,,
08-H1-C-R4-,CHPA,,,
09-H1-C-R4-,CLBO,,,
10-H1-C-R4-,CLPU,,,
11-H1-C-R4-,ERCI,,,
12-H1-C-R4-,EUSP,,,
13-H1-C-R4-,FEMI,,,
14-H1-C-R4-,HECO,,,
15-H1-C-R4-,HOMU,,,
16-H1-C-R4-,LACA,,,
17-H1-C-R4-,MEPO,,,
18-H1-C-R4-,MICA,,,
19-H1-C-R4-,NAAT,,,
20-H1-C-R4-,PLER,,,
21-H1-C-R4-,SACO,,,
22-H1-C-R4-,SIGA,,,
23-H1-C-R4-,URLI,,,
01-H2-C-R4-,ACAM,,,
02-H2-C-R4-,ACWR,,,
03-H2-C-R4-,AMME,,,
